Label,URI,Short,CRM-Class,More,A1,A2
Activity (en),http://terminology.lido-schema.org/lido00004,E7,E7 Activity,,,
Adaptive reuse (en),http://terminology.lido-schema.org/lido01161,,E10 Transfer of custody ,E7 Activity,,
Decommissioning (en),http://terminology.lido-schema.org/lido01170,,E7 Activity,E10 Transfer of Custody,E7 Activity,
Opening (Object-related activity) (en),http://terminology.lido-schema.org/lido01169,,E7 Activity,,,
Attribute assignment (en),http://terminology.lido-schema.org/lido00024,E13,E13 Attribute Assignment,,,
Assignment to a curated holding (en),http://terminology.lido-schema.org/lido01146,,E87 Curation Activity,,,
Condition assessment (en),http://terminology.lido-schema.org/lido00931,E3,E3 Condition State,E14 Condition Assessment,,
Cultural context assignment (en),http://terminology.lido-schema.org/lido01145,,E13 Attribute Assignment,,,
Designation (Historic preservation activity) (en),http://terminology.lido-schema.org/lido01181,,E13 Attribute Assignment,,,
Inscription deciphering (en),http://terminology.lido-schema.org/lido01150,,E7 Activity,,,
Meaning assignment in contexts of origin (en),http://terminology.lido-schema.org/lido01147,,E13 Attribute Assignment,,,
Name assignment (en),http://terminology.lido-schema.org/lido01149,,E13 Attribute Assignment,,,
Type assignment (en),http://terminology.lido-schema.org/lido00023,E17,E17 Type Assignment,,,
Ceremony (en),http://terminology.lido-schema.org/lido01182,,E5 Event,,,
Consecration (en),http://terminology.lido-schema.org/lido00728,,E5 Event,,,
Cornerstone ceremony (en),http://terminology.lido-schema.org/lido01168,,E5 Event,,,
Deconsecration (en),http://terminology.lido-schema.org/lido01158,,E5 Event,,,
Groundbreaking (Ceremony) (en),http://terminology.lido-schema.org/lido01167,,E5 Event,,,
Change of physical control or legal title (en),http://terminology.lido-schema.org/lido01151,,E8 Acquisition,E96 Purchase,E10 Transfer of Custody,E7 Activity
Change of legal title (en),http://terminology.lido-schema.org/lido00001,,E8 Acquisition,E96 Purchase,E10 Transfer of Custody,E7 Activity
Restitution (Cultural policy) (en),http://terminology.lido-schema.org/lido01152,,E10 Transfer of Custody,E7 Activity,,
Change of physical control (en),http://terminology.lido-schema.org/lido00005,,E10 Transfer of Custody,E7 Activity,,
Collecting (en),http://terminology.lido-schema.org/lido00010,,E10 Transfer of Custody,E7 Activity,,
Loss (en),http://terminology.lido-schema.org/lido00009,E10,E10 Transfer of Custody,E7 Activity,E5 Event,
Repatriation (Cultural policy) (en),http://terminology.lido-schema.org/lido01153,,E10 Transfer of Custody,E7 Activity,,
Change of physical control and legal title (en),http://terminology.lido-schema.org/lido01184,,E10 Transfer of Custody,E7 Activity,,
Commissioning (en),http://terminology.lido-schema.org/lido00226,,E7 Activity,,,
Creation (en),http://terminology.lido-schema.org/lido00012,E65,E65 Creation,,,
Type creation (en),http://terminology.lido-schema.org/lido00013,E83,E83 Type Creation,,,
Work conception (en),http://terminology.lido-schema.org/lido00486,,E65 Creation,E83 Type Creation,E29 Design,
